NAME,BASIN,REGION,BASIN_ID,area,area_km2,BCU_name
Indus - CHN,Indus,CHN,67.000000000000000,9.172139000895490,95598.022434567290475,67|CHN
Irrawaddy Salween Sittang - CHN,Irrawaddy Salween Sittang,CHN,70.000000000000000,14.689595673361401,158244.336325541109545,70|CHN
Lake Balkash - CHN,Lake Balkash,CHN,77.000000000000000,8.709891138075681,77327.323000498829060,77|CHN
Mekong - CHN,Mekong,CHN,88.000000000000000,15.132031870617110,164746.578075919271214,88|CHN
North and South Korea Bo Hai Korean Bay North Coast - CHN,North and South Korea Bo Hai Korean Bay North Coast,CHN,98.000000000000000,34.422045111631505,314886.585845332767349,98|CHN
Ob - CHN,Ob,CHN,105.000000000000000,10.562941798527733,88732.825603527555359,105|CHN
Plateau of Tibet Interior - CHN,Plateau of Tibet Interior,CHN,118.000000000000000,38.135286614684553,398534.121714659093414,118|CHN
Russia South East Coast - CHN,Russia South East Coast,CHN,123.000000000000000,3.643120138990455,32831.968009330084897,123|CHN
Tarim Interior - CHN,Tarim Interior,CHN,148.000000000000000,163.252847065067868,1583765.900121035752818,148|CHN
Yangtze - CHN,Yangtze,CHN,159.000000000000000,180.674341349942438,1922652.308836492011324,159|CHN
Ziya He Interior - CHN,Ziya He Interior,CHN,162.000000000000000,35.715381627626023,342560.638185290037654,162|CHN
Adriatic Sea Greece Black Sea Coast - EEU,Adriatic Sea Greece Black Sea Coast,EEU,0.000000000000000,19.014420602455203,173363.569610449223546,0|EEU
Danube - EEU,Danube,EEU,39.000000000000000,70.908287295092308,611034.203723855433054,39|EEU
Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast - EEU,Elbe Ems Gironde Loire Maas Rhine Scheldt Seine France West Coast,EEU,48.000000000000000,6.260043368717449,50039.770430619901163,48|EEU
Oder Wisla Neman Daugava Neva Poland Baltic Coast - EEU,Oder Wisla Neman Daugava Neva Poland Baltic Coast,EEU,106.000000000000000,67.784578461559221,495734.914573311398271,106|EEU
Amu Darya - FSU,Amu Darya,FSU,10.000000000000000,68.683534799917865,638880.526372685097158,10|FSU
Amur - FSU,Amur,FSU,11.000000000000000,129.326629721752113,1005837.935799312428571,11|FSU
Arctic Ocean Islands - FSU,Arctic Ocean Islands,FSU,16.000000000000000,30.917560395601182,95059.089150852843886,16|FSU
Barents Sea Coast Northern Dvina - FSU,Barents Sea Coast Northern Dvina,FSU,23.000000000000000,184.356689413425698,989905.001426387578249,23|FSU
Black Sea North Coast - FSU,Black Sea North Coast,FSU,25.000000000000000,20.762608744765071,179779.638782074500341,25|FSU
Black Sea South Coast - FSU,Black Sea South Coast,FSU,26.000000000000000,3.495403618109783,31889.122180756789021,26|FSU
Caspian Sea East Coast - FSU,Caspian Sea East Coast,FSU,30.000000000000000,55.501673742285675,526071.782426098478027,30|FSU
Caspian Sea South West Coast - FSU,Caspian Sea South West Coast,FSU,31.000000000000000,37.278347592998699,338417.470868827309459,31|FSU
Danube - FSU,Danube,FSU,39.000000000000000,4.985219519909879,41684.993275730048481,39|FSU
Dnieper - FSU,Dnieper,FSU,42.000000000000000,66.003323974278572,511732.463504726183601,42|FSU
Dniester Black Sea North Coast - FSU,Dniester Black Sea North Coast,FSU,43.000000000000000,19.702991012211534,162723.205487493571127,43|FSU
Don - FSU,Don,FSU,44.000000000000000,54.944655901037159,439083.786516577762086,44|FSU
Finland Neva - FSU,Finland Neva,FSU,51.000000000000000,38.109112303155314,234082.135386594804004,51|FSU
Gobi Interior - FSU,Gobi Interior,FSU,54.000000000000000,3.151819638879765,24993.793669123337168,54|FSU
Japan - FSU,Japan,FSU,71.000000000000000,0.745367978910006,6531.473637265107755,71|FSU
Kara Sea Coast - FSU,Kara Sea Coast,FSU,74.000000000000000,142.429657740246199,672080.017117019160651,74|FSU
Lake Balkash - FSU,Lake Balkash,FSU,77.000000000000000,46.685588825036653,401916.698212351009715,77|FSU
Lena - FSU,Lena,FSU,79.000000000000000,417.768591193210000,2477833.698229707777500,79|FSU
Ob - FSU,Ob,FSU,105.000000000000000,442.018400070531072,3002697.035522781778127,105|FSU
Oder Wisla Neman Daugava Neva Poland Baltic Coast - FSU,Oder Wisla Neman Daugava Neva Poland Baltic Coast,FSU,106.000000000000000,27.282915620009476,192354.071595215064008,106|FSU
Russia South East Coast - FSU,Russia South East Coast,FSU,123.000000000000000,13.185769442304178,111173.216064647422172,123|FSU
Scandinavia North Coast - FSU,Scandinavia North Coast,FSU,127.000000000000000,47.820859355072393,236147.734973258629907,127|FSU
Siberia North Coast - FSU,Siberia North Coast,FSU,131.000000000000000,314.891611649083814,1204002.453584586037323,131|FSU
Siberia West Coast - FSU,Siberia West Coast,FSU,132.000000000000000,577.151055068633468,3030293.781250360887498,132|FSU
Syr Darya - FSU,Syr Darya,FSU,146.000000000000000,120.169189940948570,1039645.465755588025786,146|FSU
Tarim Interior - FSU,Tarim Interior,FSU,148.000000000000000,2.808148187792624,26139.254680908950832,148|FSU
Ural Caspian Sea Coast - FSU,Ural Caspian Sea Coast,FSU,154.000000000000000,89.876726131367519,735674.661623416002840,154|FSU
Volga - FSU,Volga,FSU,157.000000000000000,203.593542386979863,1410727.698091354919598,157|FSU
Yenisey - FSU,Yenisey,FSU,160.000000000000000,349.075001922899503,2190506.102225359994918,160|FSU
Amazon - LAM,Amazon,LAM,9.000000000000000,486.780077931147332,5925336.499094575643539,9|LAM
California - LAM,California,LAM,27.000000000000000,12.277303755464986,133751.602885291242274,27|LAM
Caribbean - LAM,Caribbean,LAM,28.000000000000000,18.219549675926682,210085.375759838090744,28|LAM
Carribean Coast - LAM,Carribean Coast,LAM,29.000000000000000,28.187933095578053,342254.363448255986441,29|LAM
Central America Carribean Coast - LAM,Central America Carribean Coast,LAM,32.000000000000000,77.438988769931214,906204.987996335490607,32|LAM
Central America Pacific Coast - LAM,Central America Pacific Coast,LAM,33.000000000000000,77.727796379697693,886340.351136258570477,33|LAM
Columbia Ecuador Pacific Coast - LAM,Columbia Ecuador Pacific Coast,LAM,37.000000000000000,16.885340271398988,207407.420084339159075,37|LAM
East Brazil South Atlantic Coast - LAM,East Brazil South Atlantic Coast,LAM,46.000000000000000,23.323339130103136,285367.670890867419075,46|LAM
La Plata - LAM,La Plata,LAM,75.000000000000000,235.104160777777764,2659173.349209013860673,75|LAM
La Puna Region - LAM,La Puna Region,LAM,76.000000000000000,28.324934687429078,326056.005455247242935,76|LAM
Magdalena - LAM,Magdalena,LAM,83.000000000000000,21.239101783076773,259630.159521387424320,83|LAM
Mar Chiquita Salinas Grandes - LAM,Mar Chiquita Salinas Grandes,LAM,84.000000000000000,28.693324009660230,307876.481254836835433,84|LAM
Negro Central Patagonia South Argentina South Atlantic Coast - LAM,Negro Central Patagonia South Argentina South Atlantic Coast,LAM,93.000000000000000,79.949970183647807,705678.746728697093204,93|LAM
North America Colorado - LAM,North America Colorado,LAM,97.000000000000000,1.372506348868123,14421.202581607596585,97|LAM
North Brazil South Atlantic Coast - LAM,North Brazil South Atlantic Coast,LAM,99.000000000000000,22.016757330924673,270274.607402335735969,99|LAM
North Chile Pacific Coast - LAM,North Chile Pacific Coast,LAM,100.000000000000000,39.159711957366184,413904.338739089143928,100|LAM
